Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Section (Material) | Member Comment
1;1;0.000;;0.0;0.0;0.0;0.0;-1.0;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;0.0;0.0;0.0;0.0;-1.0;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;2.1;-1.8;-1.2;0.0;-0.5;0.7;-0.7;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;2.1;-1.8;-1.2;0.0;-0.5;0.7;-0.7;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;2.3;-1.9;-1.3;0.0;-0.4;0.5;-0.8;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;1.2;-0.4;-1.1;0.1;0.3;-2.1;-1.8;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;1.2;-0.4;-1.1;0.1;0.3;-2.1;-1.8;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;1;0.000;u_X;0.0;0.0;0.0;0.0;-1.0;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.500;u_X;2.5;-2.1;-1.4;0.0;0.0;-0.2;-1.1;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_Y;0.0;0.0;0.0;0.0;-1.0;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.500;u_Y;2.5;-2.1;-1.4;0.0;0.0;-0.2;-1.1;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;u_Z;1.2;-0.4;-1.1;0.1;0.3;-2.1;-1.8;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_Z;0.0;0.0;0.0;0.0;-1.0;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_X;1.2;-0.4;-1.1;0.1;0.3;-2.1;-1.8;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_X;0.0;0.0;0.0;0.0;-1.0;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_Y;0.0;0.0;0.0;0.0;-1.0;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_Y;1.2;-0.4;-1.1;0.1;0.3;-2.1;-1.8;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_Z;0.0;0.0;0.0;0.0;-1.0;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_Z;1.2;-0.4;-1.1;0.1;0.3;-2.1;-1.8;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;2.5;0.0;0.0;0.1;0.3;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;0.0;-2.1;-1.4;0.0;-1.0;-2.1;-1.8;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;;
2;2;0.000;;1.0;-0.1;-1.0;0.0;0.3;-2.1;-1.8;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;5.7;0.4;-3.5;4.5;1.3;-1.8;-1.3;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;u_X;5.7;0.4;-3.5;4.5;1.3;-1.8;-1.3;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_X;1.0;-0.1;-1.0;0.0;0.3;-2.1;-1.8;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_Y;1.0;-0.1;-1.0;0.0;0.3;-2.1;-1.8;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;u_Y;5.7;0.4;-3.5;4.5;1.3;-1.8;-1.3;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;u_Z;5.7;0.4;-3.5;4.5;1.3;-1.8;-1.3;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_Z;1.0;-0.1;-1.0;0.0;0.3;-2.1;-1.8;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;φ_X;5.7;0.4;-3.5;4.5;1.3;-1.8;-1.3;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;φ_X;1.0;-0.1;-1.0;0.0;0.3;-2.1;-1.8;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;φ_Y;5.7;0.4;-3.5;4.5;1.3;-1.8;-1.3;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.825;φ_Y;3.3;0.2;-2.4;2.3;0.8;-2.9;-1.7;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;φ_Z;5.7;0.4;-3.5;4.5;1.3;-1.8;-1.3;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.165;φ_Z;1.3;0.0;-1.3;0.4;0.4;-2.4;-1.8;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;5.7;0.4;-1.0;4.5;1.3;-1.8;-1.3;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;1.0;-0.1;-3.5;0.0;0.3;-2.9;-1.8;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;;
3;3;0.000;;4.4;0.0;-4.4;0.1;-9.1;0.6;0.9;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;5.2;0.2;-4.7;2.3;-5.5;-1.6;0.4;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;u_X;5.2;0.2;-4.7;2.3;-5.5;-1.6;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.157;u_X;4.4;0.0;-4.4;0.1;-8.8;0.0;0.8;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;u_Y;4.4;0.0;-4.4;0.1;-9.1;0.6;0.9;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;u_Y;5.2;0.2;-4.7;2.3;-5.5;-1.6;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;u_Z;5.2;0.2;-4.7;2.3;-5.5;-1.6;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.157;u_Z;4.4;0.0;-4.4;0.1;-8.8;0.0;0.8;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;φ_X;5.2;0.2;-4.7;2.3;-5.5;-1.6;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;φ_X;4.4;0.0;-4.4;0.1;-9.1;0.6;0.9;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;φ_Y;4.4;0.0;-4.4;0.1;-9.1;0.6;0.9;Beam | 3 - HEA 140 | L : 1.575 m
3;;1.181;φ_Y;4.9;0.1;-4.6;1.5;-6.4;-1.9;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;φ_Z;4.4;0.0;-4.4;0.1;-9.1;0.6;0.9;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;φ_Z;5.2;0.2;-4.7;2.3;-5.5;-1.6;0.4;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;5.2;0.2;-4.4;2.3;-5.5;0.6;0.9;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;4.4;0.0;-4.7;0.1;-9.1;-1.9;0.4;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;;
4;4;0.000;;4.5;0.0;-4.5;0.1;-5.0;0.1;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;4.5;0.0;-4.4;0.2;-4.7;-0.4;-0.1;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;u_X;4.5;0.0;-4.5;0.1;-5.0;0.1;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;u_X;4.5;0.0;-4.4;0.2;-4.7;-0.4;-0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;u_Y;4.5;0.0;-4.4;0.2;-4.7;-0.4;-0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;u_Y;4.5;0.0;-4.5;0.1;-5.0;0.1;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;u_Z;4.5;0.0;-4.4;0.2;-4.7;-0.4;-0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;u_Z;4.5;0.0;-4.5;0.1;-5.0;0.1;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;φ_X;4.5;0.0;-4.4;0.2;-4.7;-0.4;-0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;φ_X;4.5;0.0;-4.5;0.1;-5.0;0.1;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;φ_Y;4.5;0.0;-4.5;0.1;-5.0;0.1;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;φ_Y;4.5;0.0;-4.4;0.2;-4.7;-0.4;-0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;φ_Z;4.5;0.0;-4.5;0.1;-5.0;0.1;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;φ_Z;4.5;0.0;-4.4;0.2;-4.7;-0.4;-0.1;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;4.5;0.0;-4.4;0.2;-4.7;0.1;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;;;;4.5;0.0;-4.5;0.1;-5.0;-0.4;-0.1;Beam | 3 - HEA 140 | L : 0.150 m
;;;;;;;;;;;
5;5;0.000;;4.3;0.0;-4.3;0.1;-9.0;-0.4;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;4.3;0.0;-4.3;0.1;-8.5;-0.6;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;4.3;0.0;-4.3;0.1;-8.5;-0.6;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;;4.3;0.0;-4.3;0.2;-7.9;-0.7;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
Extremes;5;0.000;u_X;4.3;0.0;-4.3;0.1;-9.0;-0.4;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;u_X;4.3;0.0;-4.3;0.2;-7.9;-0.7;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;u_Y;4.3;0.0;-4.3;0.2;-7.9;-0.7;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;u_Y;4.3;0.0;-4.3;0.1;-9.0;-0.4;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;u_Z;4.3;0.0;-4.3;0.2;-7.9;-0.7;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;u_Z;4.3;0.0;-4.3;0.1;-9.0;-0.4;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;φ_X;4.3;0.0;-4.3;0.2;-7.9;-0.7;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;φ_X;4.3;0.0;-4.3;0.1;-9.0;-0.4;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;φ_Y;4.3;0.0;-4.3;0.1;-9.0;-0.4;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;φ_Y;4.3;0.0;-4.3;0.2;-7.9;-0.7;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;φ_Z;4.3;0.0;-4.3;0.2;-7.9;-0.7;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;φ_Z;4.3;0.0;-4.3;0.1;-9.0;-0.4;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
Total;;;;4.3;0.0;-4.3;0.2;-7.9;-0.4;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
5;;;;4.3;0.0;-4.3;0.1;-9.0;-0.7;-0.8;Beam | 3 - HEA 140 | L : 0.075 m
;;;;;;;;;;;
6;7;0.000;;0.0;0.0;0.0;0.0;-1.0;-1.5;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;;0.0;0.0;0.0;0.0;-1.0;-1.5;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;2.3;1.9;-1.2;0.0;-0.5;-0.8;0.7;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;2.3;1.9;-1.2;0.0;-0.5;-0.8;0.7;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.738;;2.4;2.1;-1.3;0.0;-0.4;-0.5;0.8;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;1.1;0.4;-1.1;0.1;0.3;2.2;1.8;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;1.1;0.4;-1.1;0.1;0.3;2.2;1.8;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;;2.500;u_X;2.6;2.2;-1.4;0.0;0.0;0.3;1.1;Beam | 2 - HEA 160 | L : 4.000 m
