Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Section (Material) | Member Comment
1;1;0.000;;0.0;0.0;0.0;0.0;0.0;1.0;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;0.0;0.0;0.0;0.0;0.0;1.0;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;2.6;0.0;-2.3;-1.2;1.0;0.5;-0.6;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;2.6;0.0;-2.3;-1.2;1.0;0.5;-0.6;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;2.7;0.0;-2.4;-1.3;1.1;0.4;-0.3;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;0.7;0.0;-0.1;-0.7;2.6;-1.0;1.7;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;0.7;0.0;-0.1;-0.7;2.6;-1.0;1.7;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;1;0.000;u_x;0.0;0.0;0.0;0.0;0.0;1.0;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;u_x;0.7;0.0;-0.1;-0.7;2.6;-1.0;1.7;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_y;0.0;0.0;0.0;0.0;0.0;1.0;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;u_y;2.8;0.0;-2.4;-1.4;1.3;0.2;0.1;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_z;0.0;0.0;0.0;0.0;0.0;1.0;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.500;u_z;2.6;0.0;-2.2;-1.5;1.6;-0.1;0.8;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_x;0.7;0.0;-0.1;-0.7;2.6;-1.0;1.7;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;1.0;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;1.0;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_y;0.7;0.0;-0.1;-0.7;2.6;-1.0;1.7;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_z;0.7;0.0;-0.1;-0.7;2.6;-1.0;1.7;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;1.0;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;2.8;0.0;0.0;0.0;2.6;1.0;1.7;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;0.0;0.0;-2.4;-1.5;0.0;-1.0;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;;
2;2;0.000;;0.6;-0.5;0.3;0.0;2.0;-1.0;-2.4;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;3.5;-0.5;-2.9;2.0;15.8;-0.8;-1.0;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;u_x;3.5;-0.5;-2.9;2.0;15.8;-0.8;-1.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_x;0.6;-0.5;0.3;0.0;2.0;-1.0;-2.4;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_y;0.6;-0.5;0.3;0.0;2.0;-1.0;-2.4;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;u_y;3.5;-0.5;-2.9;2.0;15.8;-0.8;-1.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;u_z;3.5;-0.5;-2.9;2.0;15.8;-0.8;-1.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_z;0.6;-0.5;0.3;0.0;2.0;-1.0;-2.4;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;φ_x;3.5;-0.5;-2.9;2.0;15.8;-0.8;-1.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;φ_x;0.6;-0.5;0.3;0.0;2.0;-1.0;-2.4;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;φ_y;3.5;-0.5;-2.9;2.0;15.8;-0.8;-1.0;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.660;φ_y;1.5;-0.5;-1.2;0.8;7.5;-1.3;-2.1;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;φ_z;3.5;-0.5;-2.9;2.0;15.8;-0.8;-1.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;φ_z;0.6;-0.5;0.3;0.0;2.0;-1.0;-2.4;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;3.5;-0.5;0.3;2.0;15.8;-0.8;-1.0;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;0.5;-0.5;-2.9;0.0;2.0;-1.3;-2.4;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;;
3;3;0.000;;0.6;-0.5;-0.3;0.1;-1.1;0.6;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.647;;0.6;-0.5;-0.4;0.0;1.9;-0.3;-0.5;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;1.2;-0.5;-1.0;0.6;6.1;-0.6;-0.6;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;3;0.000;u_x;0.6;-0.5;-0.3;0.1;-1.1;0.6;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;u_x;1.2;-0.5;-1.0;0.6;6.1;-0.6;-0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.197;u_y;0.5;-0.5;-0.3;0.0;-0.2;0.3;0.1;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;u_y;1.2;-0.5;-1.0;0.6;6.1;-0.6;-0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;u_z;1.2;-0.5;-1.0;0.6;6.1;-0.6;-0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.315;u_z;0.6;-0.5;-0.3;0.0;0.3;0.1;-0.1;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;φ_x;1.2;-0.5;-1.0;0.6;6.1;-0.6;-0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;φ_x;0.6;-0.5;-0.3;0.1;-1.1;0.6;0.4;Beam | 3 - HEA 140 | L : 1.575 m
