Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
4;156;0.150;κ_x;0.01;0.01;0.14;-11.1;-1.9;2.7;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;κ_y;0.01;0.01;0.14;-11.1;-1.9;2.7;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;κ_y;0.01;0.01;0.14;-10.8;-2.4;3.0;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;κ_z;0.01;0.01;0.14;-10.8;-2.4;3.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;κ_z;0.01;0.01;0.14;-11.1;-1.9;2.7;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;0.01;0.01;0.14;-10.8;-1.9;3.0;Beam | 3 - HEA 140 | L : 0.150 m
4;;;;0.01;0.01;0.14;-11.1;-2.4;2.7;Beam | 3 - HEA 140 | L : 0.150 m
;;;;;;;;;;
5;5;0.000;;0.01;0.00;0.20;-58.5;-3.2;2.6;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;0.01;0.00;0.20;-58.5;-3.0;2.5;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;0.01;0.00;0.20;-58.5;-3.0;2.5;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;;0.01;0.00;0.20;-58.6;-2.9;2.5;Beam | 3 - HEA 140 | L : 0.075 m
Extremes;5;0.000;ε_x;0.01;0.00;0.20;-58.5;-3.2;2.6;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;ε_x;0.01;0.00;0.20;-58.6;-2.9;2.5;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;γ_xy;0.01;0.00;0.20;-58.5;-3.2;2.6;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;γ_xy;0.01;0.00;0.20;-58.6;-2.9;2.5;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;γ_xz;0.01;0.00;0.20;-58.5;-3.2;2.6;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;γ_xz;0.01;0.00;0.20;-58.6;-2.9;2.5;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;κ_x;0.01;0.00;0.20;-58.5;-3.2;2.6;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;κ_x;0.01;0.00;0.20;-58.6;-2.9;2.5;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;κ_y;0.01;0.00;0.20;-58.6;-2.9;2.5;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;κ_y;0.01;0.00;0.20;-58.5;-3.2;2.6;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;κ_z;0.01;0.00;0.20;-58.5;-3.2;2.6;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;κ_z;0.01;0.00;0.20;-58.6;-2.9;2.5;Beam | 3 - HEA 140 | L : 0.075 m
Total;;;;0.01;0.00;0.20;-58.5;-2.9;2.6;Beam | 3 - HEA 140 | L : 0.075 m
5;;;;0.01;0.00;0.20;-58.6;-3.2;2.5;Beam | 3 - HEA 140 | L : 0.075 m
;;;;;;;;;;
6;7;0.000;;-0.01;0.02;0.09;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;;-0.01;0.02;0.09;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;-0.01;0.00;0.02;1.7;1.5;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;-0.01;0.00;0.02;1.7;1.5;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.738;;-0.01;0.00;0.01;1.6;1.6;-2.1;Beam | 2 - HEA 160 | L : 4.000 m
6;;2.000;;-0.01;0.00;0.00;1.4;1.6;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
6;;2.000;;-0.01;0.00;0.00;1.4;1.6;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;-0.01;-0.01;-0.04;0.6;0.8;0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;-0.01;-0.01;-0.04;0.6;0.8;0.1;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;6;4.000;ε_x;-0.01;-0.01;-0.04;0.6;0.8;0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;ε_x;-0.01;0.02;0.09;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;γ_xy;-0.01;0.02;0.09;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;γ_xy;-0.01;-0.01;-0.04;0.6;0.8;0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;γ_xz;-0.01;0.02;0.09;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;γ_xz;-0.01;-0.01;-0.04;0.6;0.8;0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.000;κ_x;-0.01;0.01;0.05;1.9;1.2;-1.7;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;κ_x;-0.01;-0.01;-0.04;0.6;0.8;0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;;2.000;κ_y;-0.01;0.00;0.00;1.4;1.6;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;κ_y;-0.01;0.02;0.09;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;κ_z;-0.01;-0.01;-0.04;0.6;0.8;0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.738;κ_z;-0.01;0.00;0.01;1.6;1.6;-2.1;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-0.01;0.02;0.09;1.9;1.6;0.1;Beam | 2 - HEA 160 | L : 4.000 m
6;;;;-0.01;-0.01;-0.04;0.6;0.0;-2.1;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
7;8;0.000;;-0.02;0.00;-0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;;-0.02;0.00;-0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;1.738;;-0.02;0.00;-0.02;0.0;-2.0;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.238;;-0.02;0.00;0.01;0.0;-2.0;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;3;4.500;ε_x;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;ε_x;-0.02;0.00;-0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;γ_xy;-0.02;0.00;-0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;γ_xy;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;γ_xz;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;γ_xz;-0.02;0.00;-0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;3.500;κ_x;-0.02;0.00;0.06;0.1;-1.1;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
7;;1.000;κ_x;-0.02;0.00;-0.06;-0.1;-1.5;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;κ_y;-0.02;0.00;-0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.000;κ_y;-0.02;0.00;0.00;0.0;-2.0;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;κ_z;-0.02;0.00;-0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.238;κ_z;-0.02;0.00;0.01;0.0;-2.0;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;-0.02;0.00;0.07;0.1;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;;;-0.02;0.00;-0.11;-0.1;-2.0;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;
8;9;0.000;;-0.02;0.00;-0.12;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;;-0.02;0.00;-0.12;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.238;;-0.02;0.00;0.00;0.0;-2.5;-0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
Extremes;4;5.000;ε_x;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;ε_x;-0.02;0.00;-0.12;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;γ_xy;-0.02;0.00;-0.12;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;γ_xy;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;γ_xz;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;γ_xz;-0.02;0.00;-0.12;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;3.500;κ_x;-0.02;0.00;0.05;0.1;-1.8;-0.2;Beam | 2 - HEA 160 | L : 5.000 m
8;;1.000;κ_x;-0.02;0.00;-0.07;-0.1;-1.7;-0.2;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;κ_y;-0.02;0.00;-0.12;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.238;κ_y;-0.02;0.00;0.00;0.0;-2.5;-0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;κ_z;-0.02;0.00;-0.12;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.500;κ_z;-0.02;0.00;0.01;0.0;-2.5;-0.3;Beam | 2 - HEA 160 | L : 5.000 m
Total;;;;-0.02;0.00;0.08;0.1;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;;;-0.02;0.00;-0.12;-0.1;-2.5;-0.3;Beam | 2 - HEA 160 | L : 5.000 m
;;;;;;;;;;
9;10;0.000;;-0.02;0.00;-0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;;-0.02;0.00;-0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;1.738;;-0.02;0.00;-0.02;0.0;-2.0;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.238;;-0.02;0.00;0.01;0.0;-2.0;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;5;4.500;ε_x;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;ε_x;-0.02;0.00;-0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;γ_xy;-0.02;0.00;-0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;γ_xy;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;γ_xz;-0.02;0.00;0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;γ_xz;-0.02;0.00;-0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;3.000;κ_x;-0.02;0.00;0.04;0.1;-1.6;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
9;;1.000;κ_x;-0.02;0.00;-0.06;-0.1;-1.5;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;κ_y;-0.02;0.00;-0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.000;κ_y;-0.02;0.00;0.00;0.0;-2.0;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;κ_z;-0.02;0.00;-0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.238;κ_z;-0.02;0.00;0.01;0.0;-2.0;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;-0.02;0.00;0.07;0.1;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;;;-0.02;0.00;-0.11;-0.1;-2.0;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;
10;11;0.000;;-0.03;0.00;-0.13;-0.2;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;;-0.03;0.00;-0.13;-0.2;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.500;;-0.03;0.00;-0.11;-0.6;-0.7;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.500;;-0.03;0.00;-0.11;-0.6;-0.7;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;;-0.03;0.00;-0.10;-1.6;-1.7;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;;-0.03;0.00;-0.10;-1.6;-1.7;0.0;Beam | 1 - IPE 500 | L : 4.000 m
Extremes;12;4.000;ε_x;-0.03;0.00;-0.10;-1.6;-1.7;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;ε_x;-0.03;0.00;-0.13;-0.2;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;γ_xy;-0.03;0.00;-0.10;-1.6;-1.7;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;γ_xy;-0.03;0.00;-0.13;-0.2;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;γ_xz;-0.03;0.00;-0.10;-1.6;-1.7;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;γ_xz;-0.03;0.00;-0.13;-0.2;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;κ_x;-0.03;0.00;-0.13;-0.2;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;κ_x;-0.03;0.00;-0.10;-1.6;-1.7;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;κ_y;-0.03;0.00;-0.13;-0.2;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;κ_y;-0.03;0.00;-0.10;-1.6;-1.7;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;κ_z;-0.03;0.00;-0.10;-1.6;-1.7;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;κ_z;-0.03;0.00;-0.13;-0.2;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
Total;;;;-0.03;0.00;-0.10;-0.2;0.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;;;-0.03;0.00;-0.13;-1.6;-1.7;0.0;Beam | 1 - IPE 500 | L : 4.000 m
;;;;;;;;;;
11;12;0.000;;-0.02;0.00;0.14;1.5;-1.7;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;;-0.02;0.00;0.14;2.4;-0.8;0.0;Beam | 1 - IPE 500 | L : 1.650 m
Extremes;111;1.650;ε_x;-0.02;0.00;0.14;2.4;-0.8;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;ε_x;-0.02;0.00;0.14;1.5;-1.7;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;γ_xy;-0.02;0.00;0.14;2.4;-0.8;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;γ_xy;-0.02;0.00;0.14;1.5;-1.7;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;γ_xz;-0.02;0.00;0.14;1.5;-1.7;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;γ_xz;-0.02;0.00;0.14;2.4;-0.8;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;κ_x;-0.02;0.00;0.14;2.4;-0.8;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;κ_x;-0.02;0.00;0.14;1.5;-1.7;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;κ_y;-0.02;0.00;0.14;2.4;-0.8;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;κ_y;-0.02;0.00;0.14;1.5;-1.7;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;;0.825;κ_z;-0.02;0.00;0.14;1.9;-1.3;0.1;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;κ_z;-0.02;0.00;0.14;2.4;-0.8;0.0;Beam | 1 - IPE 500 | L : 1.650 m
Total;;;;-0.02;0.00;0.14;2.4;-0.8;0.1;Beam | 1 - IPE 500 | L : 1.650 m
11;;;;-0.02;0.00;0.14;1.5;-1.7;0.0;Beam | 1 - IPE 500 | L : 1.650 m
;;;;;;;;;;
12;13;0.000;;-0.03;0.00;0.06;-0.8;0.5;-0.3;Beam | 1 - IPE 500 | L : 1.575 m
12;114;1.575;;-0.03;0.00;0.05;-0.7;0.8;-0.2;Beam | 1 - IPE 500 | L : 1.575 m
Extremes;114;1.575;ε_x;-0.03;0.00;0.05;-0.7;0.8;-0.2;Beam | 1 - IPE 500 | L : 1.575 m
12;13;0.000;ε_x;-0.03;0.00;0.06;-0.8;0.5;-0.3;Beam | 1 - IPE 500 | L : 1.575 m
12;13;0.000;γ_xy;-0.03;0.00;0.06;-0.8;0.5;-0.3;Beam | 1 - IPE 500 | L : 1.575 m
12;114;1.575;γ_xy;-0.03;0.00;0.05;-0.7;0.8;-0.2;Beam | 1 - IPE 500 | L : 1.575 m
12;13;0.000;γ_xz;-0.03;0.00;0.06;-0.8;0.5;-0.3;Beam | 1 - IPE 500 | L : 1.575 m
12;114;1.575;γ_xz;-0.03;0.00;0.05;-0.7;0.8;-0.2;Beam | 1 - IPE 500 | L : 1.575 m
12;114;1.575;κ_x;-0.03;0.00;0.05;-0.7;0.8;-0.2;Beam | 1 - IPE 500 | L : 1.575 m
12;13;0.000;κ_x;-0.03;0.00;0.06;-0.8;0.5;-0.3;Beam | 1 - IPE 500 | L : 1.575 m
12;114;1.575;κ_y;-0.03;0.00;0.05;-0.7;0.8;-0.2;Beam | 1 - IPE 500 | L : 1.575 m
12;13;0.000;κ_y;-0.03;0.00;0.06;-0.8;0.5;-0.3;Beam | 1 - IPE 500 | L : 1.575 m
12;114;1.575;κ_z;-0.03;0.00;0.05;-0.7;0.8;-0.2;Beam | 1 - IPE 500 | L : 1.575 m
12;13;0.000;κ_z;-0.03;0.00;0.06;-0.8;0.5;-0.3;Beam | 1 - IPE 500 | L : 1.575 m
