Member No.;Node;;Forces [kN];;;Moments [kNm];;;
108;19;;0.00;0.22;2.24;0.00;0.00;0.00;
108;26;;0.00;-0.22;-2.24;0.00;0.00;0.00;
119;63;;-0.27;0.26;2.60;0.00;0.00;0.00;
119;52;;-0.27;-0.26;-2.60;0.00;0.00;0.00;
121;62;;-0.27;0.26;2.60;0.00;0.00;0.00;
121;76;;-0.27;-0.26;-2.60;0.00;0.00;0.00;
124;84;;-0.07;0.42;4.25;0.00;0.00;0.00;
124;57;;-0.07;-0.42;-4.25;0.00;0.00;0.00;
125;85;;-0.50;0.42;4.25;0.00;0.00;0.00;
125;58;;-0.50;-0.42;-4.25;0.00;0.00;0.00;
126;86;;-0.09;0.42;4.25;0.00;0.00;0.00;
126;59;;-0.09;-0.42;-4.25;0.00;0.00;0.00;
127;87;;-0.12;0.42;4.25;0.00;0.00;0.00;
127;60;;-0.12;-0.42;-4.25;0.00;0.00;0.00;
128;69;;-0.25;0.42;4.25;0.00;0.00;0.00;
128;95;;-0.25;-0.42;-4.25;0.00;0.00;0.00;
129;30;;0.00;0.22;2.24;0.00;0.00;0.00;
129;23;;0.00;-0.22;-2.24;0.00;0.00;0.00;
130;71;;-0.07;0.42;4.25;0.00;0.00;0.00;
130;96;;-0.07;-0.42;-4.25;0.00;0.00;0.00;
131;72;;-0.49;0.42;4.25;0.00;0.00;0.00;
131;97;;-0.49;-0.42;-4.25;0.00;0.00;0.00;
132;73;;-0.09;0.42;4.25;0.00;0.00;0.00;
132;98;;-0.09;-0.42;-4.25;0.00;0.00;0.00;
133;74;;-0.12;0.42;4.25;0.00;0.00;0.00;
133;99;;-0.12;-0.42;-4.25;0.00;0.00;0.00;
134;89;;-0.19;0.26;2.60;0.00;0.00;0.00;
134;63;;-0.19;-0.26;-2.60;0.00;0.00;0.00;
135;76;;-0.19;0.26;2.60;0.00;0.00;0.00;
135;100;;-0.19;-0.26;-2.60;0.00;0.00;0.00;
148;111;;-0.11;0.42;4.25;0.00;0.00;0.00;
148;83;;-0.11;-0.42;-4.25;0.00;0.00;0.00;
149;12;;0.00;0.22;2.24;0.00;0.00;0.00;
149;19;;0.00;-0.22;-2.24;0.00;0.00;0.00;
150;112;;0.04;0.42;4.25;0.00;0.00;0.00;
150;84;;0.04;-0.42;-4.25;0.00;0.00;0.00;
151;113;;0.06;0.42;4.25;0.00;0.00;0.00;
151;85;;0.06;-0.42;-4.25;0.00;0.00;0.00;
152;114;;0.00;0.42;4.25;0.00;0.00;0.00;
152;86;;0.00;-0.42;-4.25;0.00;0.00;0.00;
153;115;;-0.04;0.42;4.25;0.00;0.00;0.00;
153;87;;-0.04;-0.42;-4.25;0.00;0.00;0.00;
154;95;;-0.11;0.42;4.25;0.00;0.00;0.00;
154;123;;-0.11;-0.42;-4.25;0.00;0.00;0.00;
155;23;;0.00;0.22;2.24;0.00;0.00;0.00;
155;16;;0.00;-0.22;-2.24;0.00;0.00;0.00;
156;96;;0.04;0.42;4.25;0.00;0.00;0.00;
156;124;;0.04;-0.42;-4.25;0.00;0.00;0.00;
157;97;;0.06;0.42;4.25;0.00;0.00;0.00;
157;125;;0.06;-0.42;-4.25;0.00;0.00;0.00;
158;98;;0.00;0.42;4.25;0.00;0.00;0.00;
158;126;;0.00;-0.42;-4.25;0.00;0.00;0.00;
159;99;;-0.04;0.42;4.25;0.00;0.00;0.00;
159;127;;-0.04;-0.42;-4.25;0.00;0.00;0.00;
160;117;;-0.04;0.26;2.60;0.00;0.00;0.00;
160;89;;-0.04;-0.26;-2.60;0.00;0.00;0.00;
161;100;;-0.05;0.26;2.60;0.00;0.00;0.00;
161;128;;-0.05;-0.26;-2.60;0.00;0.00;0.00;
174;139;;0.13;0.42;4.25;0.00;0.00;0.00;
174;111;;0.13;-0.42;-4.25;0.00;0.00;0.00;
175;2;;0.00;0.22;2.24;0.00;0.00;0.00;
175;12;;0.00;-0.22;-2.24;0.00;0.00;0.00;
176;140;;0.14;0.42;4.25;0.00;0.00;0.00;
176;112;;0.14;-0.42;-4.25;0.00;0.00;0.00;
177;141;;0.62;0.42;4.25;0.00;0.00;0.00;
177;113;;0.62;-0.42;-4.24;0.00;0.00;0.00;
178;142;;0.10;0.42;4.25;0.00;0.00;0.00;
178;114;;0.10;-0.42;-4.25;0.00;0.00;0.00;
179;143;;0.04;0.42;4.25;0.00;0.00;0.00;
179;115;;0.04;-0.42;-4.25;0.00;0.00;0.00;
180;123;;0.15;0.42;4.25;0.00;0.00;0.00;
180;151;;0.15;-0.42;-4.25;0.00;0.00;0.00;
181;16;;0.00;0.22;2.24;0.00;0.00;0.00;
181;6;;0.00;-0.22;-2.24;0.00;0.00;0.00;
182;124;;0.13;0.42;4.25;0.00;0.00;0.00;
182;152;;0.13;-0.42;-4.25;0.00;0.00;0.00;
183;125;;0.61;0.42;4.24;0.00;0.00;0.00;
183;153;;0.61;-0.43;-4.25;0.00;0.00;0.00;
184;126;;0.10;0.42;4.25;0.00;0.00;0.00;
184;154;;0.10;-0.42;-4.25;0.00;0.00;0.00;
185;127;;0.04;0.42;4.25;0.00;0.00;0.00;
185;155;;0.04;-0.42;-4.25;0.00;0.00;0.00;
186;145;;0.12;0.26;2.60;0.00;0.00;0.00;
186;117;;0.12;-0.26;-2.60;0.00;0.00;0.00;
187;128;;0.11;0.26;2.60;0.00;0.00;0.00;
187;156;;0.11;-0.26;-2.60;0.00;0.00;0.00;
200;49;;-0.44;0.42;4.25;0.00;0.00;0.00;
200;116;;-0.44;-0.42;-4.25;0.00;0.00;0.00;
201;33;;0.00;0.22;2.24;0.00;0.00;0.00;
201;40;;0.00;-0.22;-2.24;0.00;0.00;0.00;
202;50;;-0.29;0.42;4.25;0.00;0.00;0.00;
202;118;;-0.29;-0.42;-4.25;0.00;0.00;0.00;
203;51;;-1.66;0.43;4.25;0.00;0.00;0.00;
203;119;;-1.66;-0.42;-4.24;0.00;0.00;0.00;
204;54;;-0.24;0.42;4.25;0.00;0.00;0.00;
204;120;;-0.24;-0.42;-4.25;0.00;0.00;0.00;
205;53;;-0.19;0.42;4.25;0.00;0.00;0.00;
205;121;;-0.19;-0.42;-4.25;0.00;0.00;0.00;
206;129;;-0.47;0.42;4.25;0.00;0.00;0.00;
206;64;;-0.47;-0.42;-4.25;0.00;0.00;0.00;
207;44;;0.00;0.22;2.24;0.00;0.00;0.00;
207;37;;0.00;-0.22;-2.24;0.00;0.00;0.00;
208;130;;-0.28;0.42;4.25;0.00;0.00;0.00;
208;65;;-0.28;-0.42;-4.25;0.00;0.00;0.00;
209;131;;-1.64;0.42;4.24;0.00;0.00;0.00;
209;66;;-1.64;-0.43;-4.25;0.00;0.00;0.00;
210;132;;-0.24;0.42;4.25;0.00;0.00;0.00;
210;68;;-0.24;-0.42;-4.25;0.00;0.00;0.00;
211;133;;-0.18;0.42;4.25;0.00;0.00;0.00;
211;67;;-0.18;-0.42;-4.25;0.00;0.00;0.00;
212;52;;-0.30;0.26;2.60;0.00;0.00;0.00;
212;122;;-0.30;-0.26;-2.60;0.00;0.00;0.00;
213;134;;-0.29;0.26;2.60;0.00;0.00;0.00;
213;62;;-0.29;-0.26;-2.60;0.00;0.00;0.00;
Total;;;0.62;0.43;4.25;0.00;0.00;0.00;
max/min;;;-16.75;-0.43;-4.72;0.00;0.00;0.00;
