Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Section (Material) | Member Comment
1;1;0.000;;-0.01;-0.02;0.04;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-0.01;-0.02;0.04;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-0.01;0.00;0.00;1.1;0.5;3.2;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-0.01;0.00;0.00;1.1;0.5;3.2;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-0.01;0.00;-0.01;1.2;0.5;3.3;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.190;;-0.01;0.01;-0.02;1.3;0.3;3.2;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-0.01;0.02;-0.04;0.3;-0.6;-0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-0.01;0.02;-0.04;0.3;-0.6;-0.2;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;ε_x;-0.01;0.02;-0.04;0.3;-0.6;-0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;ε_x;-0.01;-0.02;0.04;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;γ_xy;-0.01;0.02;-0.04;0.3;-0.6;-0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;γ_xy;-0.01;-0.02;0.04;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;γ_xz;-0.01;-0.02;0.04;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;γ_xz;-0.01;0.02;-0.04;0.3;-0.6;-0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.500;κ_x;-0.01;0.01;-0.02;1.3;0.2;2.8;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;κ_x;-0.01;0.02;-0.04;0.3;-0.6;-0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.333;κ_y;-0.01;-0.01;0.00;1.0;0.5;3.1;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;κ_y;-0.01;0.02;-0.04;0.3;-0.6;-0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;κ_z;-0.01;0.00;-0.01;1.2;0.5;3.3;Beam | 2 - HEA 160 | L : 4.000 m
