Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
2;;0.660;φ_Z;1.4;0.3;-0.9;1.1;5.4;-1.8;-2.2;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;3.5;0.4;0.3;2.8;11.4;-1.0;-1.9;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;0.3;0.2;-2.1;0.0;1.5;-1.8;-2.2;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;;
3;3;0.000;;0.3;0.1;-0.2;0.1;-0.9;0.4;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.787;;0.7;0.2;-0.3;0.6;1.8;-1.1;-0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.787;;0.7;0.2;-0.3;0.6;1.8;-1.1;-0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;1.8;0.3;-0.7;1.6;4.6;-1.1;-1.0;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;u_X;1.8;0.3;-0.7;1.6;4.6;-1.1;-1.0;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.157;u_X;0.2;0.1;-0.2;0.1;-0.4;-0.1;0.1;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.197;u_Y;0.2;0.1;-0.2;0.1;-0.2;-0.2;0.0;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;u_Y;1.8;0.3;-0.7;1.6;4.6;-1.1;-1.0;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;u_Z;1.8;0.3;-0.7;1.6;4.6;-1.1;-1.0;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.157;u_Z;0.2;0.1;-0.2;0.1;-0.4;-0.1;0.1;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;φ_X;1.8;0.3;-0.7;1.6;4.6;-1.1;-1.0;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;φ_X;0.3;0.1;-0.2;0.1;-0.9;0.4;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;φ_Y;0.3;0.1;-0.2;0.1;-0.9;0.4;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;;1.181;φ_Y;1.2;0.2;-0.5;1.1;3.2;-1.3;-0.9;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;φ_Z;0.3;0.1;-0.2;0.1;-0.9;0.4;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;φ_Z;1.8;0.3;-0.7;1.6;4.6;-1.1;-1.0;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;1.8;0.3;-0.2;1.6;4.6;0.4;0.4;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;0.2;0.1;-0.7;0.1;-0.9;-1.3;-1.0;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;;
4;4;0.000;;0.2;0.1;0.0;0.1;0.0;0.0;0.2;Beam | 3 - HEA 140 | L : 0.150 m
4;;0.075;;0.2;0.1;0.0;0.1;0.3;-0.2;0.2;Beam | 3 - HEA 140 | L : 0.150 m
4;;0.075;;0.2;0.1;0.0;0.1;0.3;-0.2;0.2;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;0.2;0.1;0.0;0.2;0.6;-0.4;0.2;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;u_X;0.2;0.1;0.0;0.1;0.0;0.0;0.2;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;u_X;0.2;0.1;0.0;0.2;0.6;-0.4;0.2;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;u_Y;0.2;0.1;0.0;0.2;0.6;-0.4;0.2;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;u_Y;0.2;0.1;0.0;0.1;0.0;0.0;0.2;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;u_Z;0.2;0.1;0.0;0.2;0.6;-0.4;0.2;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;u_Z;0.2;0.1;0.0;0.1;0.0;0.0;0.2;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;φ_X;0.2;0.1;0.0;0.2;0.6;-0.4;0.2;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;φ_X;0.2;0.1;0.0;0.1;0.0;0.0;0.2;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;φ_Y;0.2;0.1;0.0;0.1;0.0;0.0;0.2;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;φ_Y;0.2;0.1;0.0;0.2;0.6;-0.4;0.2;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;φ_Z;0.2;0.1;0.0;0.1;0.0;0.0;0.2;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;φ_Z;0.2;0.1;0.0;0.2;0.6;-0.4;0.2;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;0.2;0.1;0.0;0.2;0.6;0.0;0.2;Beam | 3 - HEA 140 | L : 0.150 m
4;;;;0.2;0.1;0.0;0.1;0.0;-0.4;0.2;Beam | 3 - HEA 140 | L : 0.150 m
;;;;;;;;;;;
5;5;0.000;;0.2;0.1;-0.1;0.1;-0.6;-0.2;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;0.2;0.1;-0.1;0.1;0.0;-0.3;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;0.2;0.1;-0.1;0.1;0.0;-0.3;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;;0.2;0.1;-0.1;0.1;0.7;-0.4;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
Extremes;5;0.000;u_X;0.2;0.1;-0.1;0.1;-0.6;-0.2;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;u_X;0.2;0.1;-0.1;0.1;0.7;-0.4;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;u_Y;0.2;0.1;-0.1;0.1;-0.6;-0.2;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;u_Y;0.2;0.1;-0.1;0.1;0.7;-0.4;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;u_Z;0.2;0.1;-0.1;0.1;0.7;-0.4;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;u_Z;0.2;0.1;-0.1;0.1;-0.6;-0.2;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;φ_X;0.2;0.1;-0.1;0.1;0.7;-0.4;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;φ_X;0.2;0.1;-0.1;0.1;-0.6;-0.2;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;φ_Y;0.2;0.1;-0.1;0.1;-0.6;-0.2;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;φ_Y;0.2;0.1;-0.1;0.1;0.7;-0.4;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;φ_Z;0.2;0.1;-0.1;0.1;0.7;-0.4;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;φ_Z;0.2;0.1;-0.1;0.1;-0.6;-0.2;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
Total;;;;0.2;0.1;-0.1;0.1;0.7;-0.2;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;;;;0.2;0.1;-0.1;0.1;-0.6;-0.4;-0.2;Beam | 3 - HEA 140 | L : 0.075 m
;;;;;;;;;;;
6;7;0.000;;0.0;0.0;0.0;0.0;-0.7;-0.9;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;;0.0;0.0;0.0;0.0;-0.7;-0.9;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;1.4;1.2;-0.7;0.0;-0.2;-0.5;0.4;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;1.4;1.2;-0.7;0.0;-0.2;-0.5;0.4;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.738;;1.5;1.3;-0.8;0.0;-0.1;-0.4;0.4;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;0.4;0.4;0.0;0.0;0.6;1.4;1.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;0.4;0.4;0.0;0.0;0.6;1.4;1.0;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;;2.500;u_X;1.6;1.4;-0.7;0.0;0.3;0.1;0.6;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;u_X;0.0;0.0;0.0;0.0;-0.7;-0.9;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;u_Y;0.4;0.4;0.0;0.0;0.6;1.4;1.0;Beam | 2 - HEA 160 | L : 4.000 m
6;;2.000;u_Y;1.6;1.4;-0.8;0.0;0.0;-0.2;0.5;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;u_Z;0.4;0.4;0.0;0.0;0.6;1.4;1.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;u_Z;0.0;0.0;0.0;0.0;-0.7;-0.9;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;φ_X;0.4;0.4;0.0;0.0;0.6;1.4;1.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;φ_X;0.0;0.0;0.0;0.0;-0.7;-0.9;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;φ_Y;0.4;0.4;0.0;0.0;0.6;1.4;1.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;φ_Y;0.0;0.0;0.0;0.0;-0.7;-0.9;0.0;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;φ_Z;0.4;0.4;0.0;0.0;0.6;1.4;1.0;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;φ_Z;0.0;0.0;0.0;0.0;-0.7;-0.9;0.0;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;1.6;1.4;0.0;0.0;0.6;1.4;1.0;Beam | 2 - HEA 160 | L : 4.000 m
6;;;;0.0;0.0;-0.8;0.0;-0.7;-0.9;0.0;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;;
7;8;0.000;;0.0;0.0;0.0;0.0;-1.3;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;;0.0;0.0;0.0;0.0;-1.3;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;1.738;;1.7;0.1;-1.7;0.0;-0.4;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.238;;1.8;0.1;-1.7;0.0;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;0.2;0.2;0.0;0.1;1.1;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;0.2;0.2;0.0;0.1;1.1;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;3;4.500;u_X;0.2;0.2;0.0;0.1;1.1;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;u_X;0.0;0.0;0.0;0.0;-1.3;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;u_Y;0.0;0.0;0.0;0.0;-1.3;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.238;u_Y;1.8;0.1;-1.7;0.0;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;u_Z;0.2;0.2;0.0;0.1;1.1;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;u_Z;0.0;0.0;0.0;0.0;-1.3;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;φ_X;0.2;0.2;0.0;0.1;1.1;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;φ_X;0.0;0.0;0.0;0.0;-1.3;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;φ_Y;0.2;0.2;0.0;0.1;1.1;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;φ_Y;0.0;0.0;0.0;0.0;-1.3;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;φ_Z;0.0;0.0;0.0;0.0;-1.3;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;φ_Z;0.0;0.0;0.0;0.0;-1.3;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;1.8;0.2;0.0;0.1;1.1;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;;;0.0;0.0;-1.7;0.0;-1.3;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;;
8;9;0.000;;0.0;0.0;0.0;0.0;-1.4;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;;0.0;0.0;0.0;0.0;-1.4;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.238;;2.1;0.1;-2.1;0.1;-0.2;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;0.2;0.1;0.0;0.1;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;0.2;0.1;0.0;0.1;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
Extremes;4;5.000;u_X;0.2;0.1;0.0;0.1;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;u_X;0.0;0.0;0.0;0.0;-1.4;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;u_Y;0.2;0.1;0.0;0.1;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.500;u_Y;2.1;0.1;-2.1;0.1;0.1;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;u_Z;0.2;0.1;0.0;0.1;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;u_Z;0.0;0.0;0.0;0.0;-1.4;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;φ_X;0.2;0.1;0.0;0.1;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;φ_X;0.0;0.0;0.0;0.0;-1.4;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;φ_Y;0.2;0.1;0.0;0.1;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;φ_Y;0.0;0.0;0.0;0.0;-1.4;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;φ_Z;0.0;0.0;0.0;0.0;-1.4;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;φ_Z;0.0;0.0;0.0;0.0;-1.4;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
Total;;;;2.1;0.1;0.0;0.1;1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;;;0.0;0.0;-2.1;0.0;-1.4;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
;;;;;;;;;;;
9;10;0.000;;0.0;0.0;0.0;0.0;-0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;;0.0;0.0;0.0;0.0;-0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;1.738;;1.0;0.0;-1.0;0.0;-0.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.238;;1.0;0.0;-1.0;0.0;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;0.1;0.1;0.0;0.1;0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;0.1;0.1;0.0;0.1;0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;5;4.500;u_X;0.1;0.1;0.0;0.1;0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;u_X;0.0;0.0;0.0;0.0;-0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;u_Y;0.1;0.1;0.0;0.1;0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.238;u_Y;1.0;0.0;-1.0;0.0;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;u_Z;0.1;0.1;0.0;0.1;0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;u_Z;0.0;0.0;0.0;0.0;-0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;φ_X;0.1;0.1;0.0;0.1;0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;φ_X;0.0;0.0;0.0;0.0;-0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;φ_Y;0.1;0.1;0.0;0.1;0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;φ_Y;0.0;0.0;0.0;0.0;-0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;φ_Z;0.0;0.0;0.0;0.0;-0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;φ_Z;0.0;0.0;0.0;0.0;-0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;1.0;0.1;0.0;0.1;0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;;;0.0;0.0;-1.0;0.0;-0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;;
10;11;0.000;;0.0;0.0;0.0;0.0;0.3;1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;;0.0;0.0;0.0;0.0;0.3;1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.500;;1.9;-1.9;0.3;0.0;0.1;0.8;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.500;;1.9;-1.9;0.3;0.0;0.1;0.8;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;;1.3;-1.3;0.1;0.1;-0.3;-2.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;;1.3;-1.3;0.1;0.1;-0.3;-2.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
Extremes;11;0.000;u_X;0.0;0.0;0.0;0.0;0.3;1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;2.667;u_X;2.5;-2.4;0.3;0.1;-0.1;-0.1;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;2.000;u_Y;2.3;-2.2;0.4;0.1;0.0;0.5;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;u_Y;0.0;0.0;0.0;0.0;0.3;1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;u_Z;1.3;-1.3;0.1;0.1;-0.3;-2.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;u_Z;0.0;0.0;0.0;0.0;0.3;1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;φ_X;0.0;0.0;0.0;0.0;0.3;1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;φ_X;1.3;-1.3;0.1;0.1;-0.3;-2.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;φ_Y;0.0;0.0;0.0;0.0;0.3;1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;φ_Y;1.3;-1.3;0.1;0.1;-0.3;-2.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;φ_Z;1.3;-1.3;0.1;0.1;-0.3;-2.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;φ_Z;0.0;0.0;0.0;0.0;0.3;1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
Total;;;;2.5;0.0;0.4;0.1;0.3;1.3;0.0;Beam | 1 - IPE 500 | L : 4.000 m
10;;;;0.0;-2.4;0.0;0.0;-0.3;-2.0;0.0;Beam | 1 - IPE 500 | L : 4.000 m
;;;;;;;;;;;
11;12;0.000;;1.3;-1.3;0.1;0.1;-0.3;-2.0;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;;0.825;;2.6;-1.1;0.1;2.4;-0.2;-3.2;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;;0.825;;2.6;-1.1;0.1;2.4;-0.2;-3.2;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;;1.005;;3.1;-1.0;0.1;3.0;-0.1;-3.4;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;;5.5;-0.8;0.1;5.4;-0.1;-4.0;0.0;Beam | 1 - IPE 500 | L : 1.650 m
Extremes;111;1.650;u_X;5.5;-0.8;0.1;5.4;-0.1;-4.0;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;u_X;1.3;-1.3;0.1;0.1;-0.3;-2.0;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;u_Y;5.5;-0.8;0.1;5.4;-0.1;-4.0;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;u_Y;1.3;-1.3;0.1;0.1;-0.3;-2.0;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;u_Z;5.5;-0.8;0.1;5.4;-0.1;-4.0;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;u_Z;1.3;-1.3;0.1;0.1;-0.3;-2.0;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;φ_X;5.5;-0.8;0.1;5.4;-0.1;-4.0;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;φ_X;1.3;-1.3;0.1;0.1;-0.3;-2.0;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;φ_Y;1.3;-1.3;0.1;0.1;-0.3;-2.0;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;111;1.650;φ_Y;5.5;-0.8;0.1;5.4;-0.1;-4.0;0.0;Beam | 1 - IPE 500 | L : 1.650 m
11;12;0.000;φ_Z;1.3;-1.3;0.1;0.1;-0.3;-2.0;0.0;Beam | 1 - IPE 500 | L : 1.650 m
